-DOCSTART- -X- -X- O

Record O O O
date: O O O
2065-09-20 O O O
Melissa O O O
Cummings O O O
HGH O O O
Unit O O O
No: O O O
265-01-73 O O O
SAINT O O O
VINCENT O O O
HOSPITAL O O O
ADULT O O O
MEDICINE O O O
Date: O O O
September O O O
20, O O O
2065 O O O
Weight: O O O
125. O O O
The O O O
patient O O O
returns O O O
from O O O
Paraguay. O O O
States O O O
while O O O
there, O O O
had O O O
problems O O O
with O O O
her O O O
stomach. O O O
Was O O O
treated O O O
by O O O
MD O O O
there O O O
with O O O
what O O O
sounds O O O
like O O O
GERD O O O
but O O O
was O O O
? O O O
attempted O O O
to O O O
be O O O
treated O O O
for O O O
H. O O O
pylori. O O O
Brings O O O
in O O O
medicines, O O O
all O O O
of O O O
which O O O
she O O O
took O O O
for O O O
one O O O
week. O O O
They O O O
are O O O
Flagyl NNP B-NP B-DRUG
500 O O O
mg O O O
b.i.d., O O O
Metoclopramide NNP B-NP B-DRUG
10 O O O
mg O O O
q.i.d. O O O
PC, O O O
Patoprazol NNP B-NP B-DRUG
40 O O O
mg O O O
q.d. O O O
All O O O
have O O O
been O O O
completed. O O O
CURRENT O O O
MEDICATIONS: O O O
Lipitor NNP B-NP B-DRUG
20 O O O
mg O O O
b.i.d., O O O
atenolol NNP B-NP B-DRUG
25 O O O
mg O O O
b.i.d., O O O
Zestril NNP B-NP B-DRUG
20 O O O
mg O O O
q.d., O O O
Glyburide NNP B-NP B-DRUG
25 O O O
mg O O O
tablets O O O
2 O O O
tabs O O O
b.i.d. O O O
(Patient O O O
occasionally O O O
does O O O
not O O O
take O O O
pills O O O
at O O O
supper O O O
as O O O
she O O O
is O O O
still O O O
fearful O O O
of O O O
hypoglycemia), O O O
clonazepam NNP B-NP B-DRUG
1 O O O
mg O O O
b.i.d., O O O
NTG NNP B-NP B-DRUG
p.r.n., O O O
Bayer NNP B-NP B-DRUG
aspirin NNP B-NP I-DRUG
and O O O
eye NNP B-NP B-DRUG
drops. NNP B-NP I-DRUG
(1)	Abdominal O O O
pain: O O O
Off O O O
medicine. O O O
Symptoms O O O
have O O O
resolved. O O O
Currently O O O
on O O O
no O O O
treatment O O O
for O O O
GI O O O
